,date,price,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,geometry,month
0,2014-10-13,221900.0,3,1180,5650,1.0,0.0,0.0,3,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,POINT (-122.257 47.5112),10
1,2014-12-09,538000.0,3,2570,7242,2.0,0.0,0.0,3,400.0,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639,POINT (-122.319 47.721),12
2,2015-02-25,180000.0,2,770,10000,1.0,0.0,0.0,3,0.0,1933,0.0,98028,47.7379,-122.23299999999999,2720,8062,POINT (-122.233 47.7379),2
3,2014-12-09,604000.0,4,1960,5000,1.0,0.0,0.0,5,910.0,1965,0.0,98136,47.5208,-122.39299999999999,1360,5000,POINT (-122.393 47.5208),12
4,2015-02-18,510000.0,3,1680,8080,1.0,0.0,0.0,3,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503,POINT (-122.045 47.6168),2
5,2014-05-12,1230000.0,4,5420,101930,1.0,0.0,0.0,3,1530.0,2001,0.0,98053,47.6561,-122.005,4760,101930,POINT (-122.005 47.6561),5
6,2014-06-27,257500.0,3,1715,6819,2.0,0.0,0.0,3,0.0,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819,POINT (-122.327 47.3097),6
7,2015-01-15,291850.0,3,1060,9711,1.0,0.0,0.0,3,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711,POINT (-122.315 47.4095),1
8,2015-04-15,229500.0,3,1780,7470,1.0,0.0,0.0,3,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113,POINT (-122.337 47.5123),4
9,2015-03-12,323000.0,3,1890,6560,2.0,0.0,0.0,3,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570,POINT (-122.031 47.3684),3
10,2015-04-03,662500.0,3,3560,9796,1.0,0.0,0.0,3,1700.0,1965,0.0,98007,47.6007,-122.145,2210,8925,POINT (-122.145 47.6007),4
11,2014-05-27,468000.0,2,1160,6000,1.0,0.0,0.0,4,300.0,1942,0.0,98115,47.69,-122.292,1330,6000,POINT (-122.292 47.69),5
12,2014-05-28,310000.0,3,1430,19901,1.5,0.0,0.0,4,0.0,1927,0.0,98028,47.7558,-122.229,1780,12697,POINT (-122.229 47.7558),5
